sample_id,edge_id,citing_paper_title,cited_paper_title,alignment_status,target_reference_marker,target_reference_entry,all_target_aligned_contexts,LLM_section,LLM_sentiment,LLM_relevance,LLM_confidence,LLM_q,manual_check_needed,human_alignment_check,human_primary_section,human_sentiment,human_relevance,annotation_note
S011,W3195579788->W2168402580,Data pricing in machine learning pipelines,Query-based data pricing,high_confidence,58,"Koutris P, Upadhyaya P, Balazinska M, Howe B, Suciu D (2012) Query-based data pricing. In: Benedikt M, Krötzsch M, Lenzerini M (eds) Proceedings of the 31st ACM SIGMOD-SIGACT-SIGART sympo-sium on principles of database systems, PODS 2012, Scottsdale, AZ, USA, May 20–24, 2012. ACM,pp 167–178. https://doi.org/10.1145/2213556.2213582","Pricesshould be computed in polynomial time with respect to the number of participants [ 1]o rt h e number of data products [ 17]. In some application scenarios, however, it takes exponential time to compute the pricing functions with desirable properties, such as Shapley fairness [ 37], arbitrage-freeness [ 58], and revenue maximization [ 17]. For example, Koutris et al.

... [another target-aligned mention] ...

For example, Koutris et al. [ 58]s h o w that computing arbitrage-free prices of join queries on a relational database is in generalNP-hard. How to efﬁciently determine prices with desirable properties presents technicalchallenges.

... [another target-aligned mention] ...

The ﬁrst formal framework for arbitrage-free query-based data pricing was introduced by Koutris et al. [ 58]. The major idea is that a data seller can ﬁrst specify the prices of a few views Vover a database, and then the price of a query bundle Qis decided algorithmically.

... [another target-aligned mention] ...

Subsequently, Koutris et al. [ 59] develop a prototype pricing system, QueryMarket, based on the idea [ 58]. They formulate the pricing model as an integer linear program (ILP) with the objective to minimize the total cost of purchased views V p.

... [another target-aligned mention] ...

Cong et al. [58] do. By adapting the theoretical results in [ 58], the authors show that the view-based pricing model for linear aggregation queries is NP-hard.

... [another target-aligned mention] ...

[58] do. By adapting the theoretical results in [ 58], the authors show that the view-based pricing model for linear aggregation queries is NP-hard. Lin and Kifer [ 65] study arbitrage-free pricing for general data queries.

... [another target-aligned mention] ...

The authors point out that the model by Koutris et al. [ 58] has pricing- based arbitrage, that is, the computed prices may leak information about D. Theoretically, they propose an instance-independent pricing function and a delayed pricing function thatare arbitrage-free across all forms.

... [another target-aligned mention] ...

Cong et al. Table 1 The representative data pricing models of raw data sets Product Objectives References General data No speciﬁc optimization goals [ 43] (1) Revenue maximization [ 117] Sensing data (1) Truthfulness; (2) Individual rationality; (3) Proﬁtability[115] (1) Truthfulness; (2) Social welfare maximization[52] (1) Truthfulness (2) Buyer’s cost minimization [ 60] Chain queries, conjunctive queries, and cyclic queries(1) Arbitrage-freeness; (2) Discount-freeness [ 58] Conjunctive queries (1) Arbitrage-freeness; (2) Discount-freeness; (3) History-awareness; (4) Fairness[59] General data queries (1) Arbitrage-freeness [ 28], [65] (1) Arbitrage-freeness; (2) History-awareness [ 29] (1) Arbitrage-freeness; (2) Revenue maximization[16] Selection-projection-natural join queries over incomplete databases(1) Arbitrage-freeness; (2) History-awareness [ 75] Selection queries (1) History-awareness [ 111] Counting queries on binary data (1) Privacy compensation; (2) Truthfulness; (3) Buyer’s cost minimization[38] Linear aggregation queries (1) Privacy compensation; (2) Query accuracy maximization under budget constraint[21] (1) Privacy compensation; (2) Personalized maximum tolerable privacy loss; (3) Queryaccuracy maximization under budgetconstraint[83] (1) Privacy compensation; (2) Truthfulness; (3) Personalized maximum tolerable privacy loss; (4) Query accuracy maximization under budget constraint[121] (1) Privacy compensation; (2) Arbitrage-freeness [ 62] (1) Privacy compensation; (2) Arbitrage-freeness; (3) Dependency fairness[84] Geo-location data (1) Privacy compensation; (2) Data accuracy maximization under budget constraint[53] tables can be used as a starting point in helping data pricing practitioners to choose the right pricing models for their settings. Tables 1,2,3,a n d 4have three columns.

... [another target-aligned mention] ...

A data buyerwith a limited budget may not want to purchase many similar data points, as the diversity oftraining data sets is critical to the performance of machine learning models [ 34]. Query-based pricing models [ 58] allow data buyers to only purchase their interested parts of a data set. However, the existing query-based pricing models are only designed for relational data setsin monopoly markets.",Introduction,0.5,0.8,0.9,0.192,1,,,,,
S012,W3195579788->W2612128091,Data pricing in machine learning pipelines,QIRANA,high_confidence,29,"Deep S, Koutris P (2017b) QIRANA: a framework for scalable query pricing. In: Salihoglu S, Zhou W, Chirkova R, Yang J, Suciu D (eds) Proceedings of the 2017 ACM international conference on 123 Data pricing in machine learning pipelines 1449 management of data, SIGMOD conference 2017, Chicago, IL, USA, May 14–19, 2017. ACM, pp 699–","In a sell-side marketplace, the arbiter is operatedby a monopoly data seller to sell the single seller’s data products. In literature, sell-sidemarketplaces are considered by pricing models of both general data sets [ 43] and speciﬁc types of data products, such as XML documents [ 108] and data queries on a relational database [ 29]. A buy-side marketplace [ 120] ,a ss h o w ni nF i g .

... [another target-aligned mention] ...

Several examples of arbitrage-free pricing functionsare presented, including the weighted coverage function and the Shannon entropy function. Deep and Koutris [ 29] later implement the theoretical framework [ 28] into a real time pricing system, QIRANA, which computes the price of a query bundle Qfrom the view of uncertainty reduction. They assume that a buyer is facing a set of all possible databaseinstances Swith the same schema as the true database instance D.

... [another target-aligned mention] ...

QueryMarket [ 59] tracks the purchased views of a customer and avoids charging those views when pricing future queries of the customer. Both[29]a n d[ 75] support history-aware pricing in the same vein as [ 59]. One drawback of these history-based approaches is that the seller must provide reliable storage to keep users’ queryhistory [ 111].

... [another target-aligned mention] ...

By tracking coupon status, the data seller guarantees that each coupon will be usedonly once. However, the pricing function has no arbitrage-free guarantee [ 29]. 3.4 Privacy compensation Machine learning models in many areas, like recommendation systems [ 21] and personalized medical treatments [ 72], require a large amount of personal data.

... [another target-aligned mention] ...

Such ﬂexibility makes it easier to version raw data products, and enablesmore ﬂexible pricing mechanisms. For example, according to how much information isrevealed, different prices can be assigned to different queries on the same database [ 29]. 123 1442 Z.

... [another target-aligned mention] ...

Cong et al. Table 1 The representative data pricing models of raw data sets Product Objectives References General data No speciﬁc optimization goals [ 43] (1) Revenue maximization [ 117] Sensing data (1) Truthfulness; (2) Individual rationality; (3) Proﬁtability[115] (1) Truthfulness; (2) Social welfare maximization[52] (1) Truthfulness (2) Buyer’s cost minimization [ 60] Chain queries, conjunctive queries, and cyclic queries(1) Arbitrage-freeness; (2) Discount-freeness [ 58] Conjunctive queries (1) Arbitrage-freeness; (2) Discount-freeness; (3) History-awareness; (4) Fairness[59] General data queries (1) Arbitrage-freeness [ 28], [65] (1) Arbitrage-freeness; (2) History-awareness [ 29] (1) Arbitrage-freeness; (2) Revenue maximization[16] Selection-projection-natural join queries over incomplete databases(1) Arbitrage-freeness; (2) History-awareness [ 75] Selection queries (1) History-awareness [ 111] Counting queries on binary data (1) Privacy compensation; (2) Truthfulness; (3) Buyer’s cost minimization[38] Linear aggregation queries (1) Privacy compensation; (2) Query accuracy maximization under budget constraint[21] (1) Privacy compensation; (2) Personalized maximum tolerable privacy loss; (3) Queryaccuracy maximization under budgetconstraint[83] (1) Privacy compensation; (2) Truthfulness; (3) Personalized maximum tolerable privacy loss; (4) Query accuracy maximization under budget constraint[121] (1) Privacy compensation; (2) Arbitrage-freeness [ 62] (1) Privacy compensation; (2) Arbitrage-freeness; (3) Dependency fairness[84] Geo-location data (1) Privacy compensation; (2) Data accuracy maximization under budget constraint[53] tables can be used as a starting point in helping data pricing practitioners to choose the right pricing models for their settings. Tables 1,2,3,a n d 4have three columns.",Discussion,0.5,0.7,0.9,0.2572499999999999,1,,,,,
S013,W3195579788->W2743929098,Data pricing in machine learning pipelines,Data pricing strategy based on data quality,high_confidence,117,"Yu H, Zhang M (2017) Data pricing strategy based on data quality. Comput Ind Eng 112:1–10. https:// doi.org/10.1016/j.cie.2017.08.008","A more comprehensive list of quality criteria is proposedin [106]. Yu and Zhang [ 117] study the problem of trading multiple versions of a data set, constructed by different data quality factors. They assume customers’ demands and maximum acceptableprices of different versions are public.

... [another target-aligned mention] ...

Solving the bi-level programming model is NP-hard. Yu and Zhang [ 117] propose a heuristic genetic algorithm to approach it numerically. 123 1426 Z.

... [another target-aligned mention] ...

Cong et al. Table 1 The representative data pricing models of raw data sets Product Objectives References General data No speciﬁc optimization goals [ 43] (1) Revenue maximization [ 117] Sensing data (1) Truthfulness; (2) Individual rationality; (3) Proﬁtability[115] (1) Truthfulness; (2) Social welfare maximization[52] (1) Truthfulness (2) Buyer’s cost minimization [ 60] Chain queries, conjunctive queries, and cyclic queries(1) Arbitrage-freeness; (2) Discount-freeness [ 58] Conjunctive queries (1) Arbitrage-freeness; (2) Discount-freeness; (3) History-awareness; (4) Fairness[59] General data queries (1) Arbitrage-freeness [ 28], [65] (1) Arbitrage-freeness; (2) History-awareness [ 29] (1) Arbitrage-freeness; (2) Revenue maximization[16] Selection-projection-natural join queries over incomplete databases(1) Arbitrage-freeness; (2) History-awareness [ 75] Selection queries (1) History-awareness [ 111] Counting queries on binary data (1) Privacy compensation; (2) Truthfulness; (3) Buyer’s cost minimization[38] Linear aggregation queries (1) Privacy compensation; (2) Query accuracy maximization under budget constraint[21] (1) Privacy compensation; (2) Personalized maximum tolerable privacy loss; (3) Queryaccuracy maximization under budgetconstraint[83] (1) Privacy compensation; (2) Truthfulness; (3) Personalized maximum tolerable privacy loss; (4) Query accuracy maximization under budget constraint[121] (1) Privacy compensation; (2) Arbitrage-freeness [ 62] (1) Privacy compensation; (2) Arbitrage-freeness; (3) Dependency fairness[84] Geo-location data (1) Privacy compensation; (2) Data accuracy maximization under budget constraint[53] tables can be used as a starting point in helping data pricing practitioners to choose the right pricing models for their settings. Tables 1,2,3,a n d 4have three columns.",Introduction,0.5,0.7,0.9,0.147,1,,,,,
S014,W3195579788->W3084177365,Data pricing in machine learning pipelines,A Survey on Data Pricing: From Economics to Data Science,grouped,86,Pei J (2020) A survey on data pricing: from economics to data science. IEEE Trans Knowl Data Eng. https://doi.org/10.1109/TKDE.2020.3045927 123 1452 Z. Cong et al.,"In response to the massive and diversiﬁed demands for various data, data products become valuable assets for purchase and sale. Here, data products refer to data sets as products and information services derived from data sets [ 86]. Data commoditization motivates data owners to share their data products in exchange of rewards and thus helps data buyers to access dataproducts of high quality and large quantities.

... [another target-aligned mention] ...

In this article, we try to present acomprehensive survey on data pricing in machine learning pipelines. Very recently, Pei [ 86] presents a survey connecting economics, digital product pricing, and data product pricing. Heidentiﬁes a series of desirable properties in data pricing and reviews the techniques achievingthose properties.

... [another target-aligned mention] ...

Heidentiﬁes a series of desirable properties in data pricing and reviews the techniques achievingthose properties. But Pei [ 86] does not focus on machine learning pipeline and does not cover the studies of pricing data labels. The rest of this survey is organized as follows.

... [another target-aligned mention] ...

2.4 Desiderata of data pricing There are some desiderata preferred by most pricing models. In this section, we brieﬂy reviewthe six desiderata suggested by Pei [ 86]. In addition, we complement the existing study by an important desideratum, effort elicitation.

... [another target-aligned mention] ...

The revenue of a seller is maximizedwhen the manufacturing level is set such that the marginal revenue is zero [ 11]. Since data products can be re-produced at almost zero costs [ 1], the revenue maximization techniques for data products and physical products are quite different [ 86]. Fairness In some scenarios, sellers need to cooperatively participate in a transaction.

... [another target-aligned mention] ...

As a consequence, a critical concern is that a data buyer may circumvent theadvertised price of a product through buying a bundle of cheaper ones, which negativelyaffects the seller’s revenue. For example, consider a data seller selling noisy queries to theseller’s database [ 84,86], and the seller perturbs each query answer independently with random noise. An answer with a variance of 5 is sold at $5 and with a variance of 1 is soldat $50.

... [another target-aligned mention] ...

Privacy-preservation Privacy protection during the transactions of data raises more and more concerns. In data marketplaces, the privacy of buyers, sellers, and involved third partiesare highly vulnerable, and might be disclosed in many different ways [ 86]. Many different solutions have been proposed for privacy protection in data markets [ 34,47,62].

... [another target-aligned mention] ...

7.1 Data pricing models in industry In recent years, many data marketplaces have emerged, where raw and processed data sets, theservices of data labeling, and machine learning models are traded [ 105]. Six pricing models are commonly used in the real-world data marketplaces [ 86,105], namely free data, ﬂat fee tariff model, pay-per-use model, package pricing, two-part tariff model, and freemium. Data marketplaces operated by authorities or non-proﬁt organizations usually provide raw data sets free of charge.",Discussion,0.0,0.7,0.8,0.1714999999999999,1,,,,,
S015,W3084177365->W2168402580,A Survey on Data Pricing: From Economics to Data Science,Query-based data pricing,high_confidence,[121],"P . Koutris, P . Upadhyaya, M. Balazinska, B. Howe, and D. Su- ciu, “Query-based data pricing,” in Proceedings of the 31st ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Sys- tems, ser. PODS’12. New York, NY, USA: Association for Computing Machinery, 2012, pp. 167–178.","Each level is modeled as a maximization problem and thus the whole model is a bi-level programming problem, which is NP-hard. Another way to form multiple versions of data products is to charge by queries [121]–[124]. Intuitively, a data seller may treat a view of a data set as a version.

... [another target-aligned mention] ...

Koutris et al. [121], [124] propose a framework of query and view based data pricing. The major idea is that a seller only needs to specify the prices on a few views, and then the prices of other views can be decided algorithmically.

... [another target-aligned mention] ...

[151] point out that a pricing model charging users a certain amount of API calls for a ﬁxed rate may potentially allow arbitrage, depending on the package size. Arbitrage-freeness is one of the fundamental properties of pricing models in query and view based pricing [121]– [124]. Li and Miklau [134] and Li et al.",Methodology,0.5,0.8,0.9,0.4800000000000001,1,,,,,
S016,W3084177365->W2293940046,A Survey on Data Pricing: From Economics to Data Science,Query-Based Data Pricing,high_confidence,[121],"P . Koutris, P . Upadhyaya, M. Balazinska, B. Howe, and D. Su- ciu, “Query-based data pricing,” in Proceedings of the 31st ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Sys- tems, ser. PODS’12. New York, NY, USA: Association for Computing Machinery, 2012, pp. 167–178.","Each level is modeled as a maximization problem and thus the whole model is a bi-level programming problem, which is NP-hard. Another way to form multiple versions of data products is to charge by queries [121]–[124]. Intuitively, a data seller may treat a view of a data set as a version.

... [another target-aligned mention] ...

Koutris et al. [121], [124] propose a framework of query and view based data pricing. The major idea is that a seller only needs to specify the prices on a few views, and then the prices of other views can be decided algorithmically.

... [another target-aligned mention] ...

[151] point out that a pricing model charging users a certain amount of API calls for a ﬁxed rate may potentially allow arbitrage, depending on the package size. Arbitrage-freeness is one of the fundamental properties of pricing models in query and view based pricing [121]– [124]. Li and Miklau [134] and Li et al.",Methodology,0.5,0.8,0.9,0.4800000000000001,1,,,,,
S017,W3084177365->W2734426755,A Survey on Data Pricing: From Economics to Data Science,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,high_confidence,[223],"Z. Zheng, Y. Peng, F. Wu, S. Tang, and G. Chen, “An online pricing mechanism for mobile crowdsensing data markets,” in Proceedings of the 18th ACM International Symposium on Mobile Ad Hoc Networking and Computing , ser. Mobihoc’17. New York, NY, USA: Association for Computing Machinery, 2017.","Zheng et al. [223] consider online pricing for mobile crowd-sensing data markets. Different from most of the work on data markets, they assume that data providers are distributed in space and there are three types of spa- tial queries from buyers, namely single-data query (e.g., inquiring the value at a speciﬁc location), multi-data query (e.g., inquiring the mean in a region) and range query (e.g., inquiring the probability that the data at a region falls in a given range).",Introduction,0.4,0.6,0.9,0.1007999999999999,1,,,,,
S018,W2790400697->W2765365501,"A Survey on Big Data Market: Pricing, Trading and Protection",Pricing of Data Products in Data Marketplaces,high_confidence,[83],"S. A. Fricker and Y . V . Maksimov, “Pricing of data products in data marketplaces,” in International Conference of Software Business. Springer, 2017, pp. 49–66.","Market Structures Pricing Models Algorithms/Schemes Goals Approaches [16] Monopoly Economic-Based Pricing Information EntropyReduce uncertainty by reducing the information entropy to avoid the interference from uncertain data contentDeﬁne ﬁve tuples parameters for data and reduce the uncertainty information entropy [75] Strong competition Economic-Based Pricing Gaussian ProcessCapture the uncertain contents of source dataCreate a trading market, and simulate the trading process. Then, use statistics approach and Gaussian process to analyze the data trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based PricingUse pricing incentives method to improve the Quality of Service (QoS) and encourage upload data for the sensorsSet a bundle with data and service; use Stackelberg game to encourage the service and negotiate the data price with consumers [52] Monopoly Economic-Based PricingAlternate optimal multi-step pricing schemeCompute the most closest pricing in case of fallaciesPropose a general framework to compute the proﬁt for a licensed datasets pricing and consider with Willingness to Pay (WTP) of consumer side, and then obtain the maximizing proﬁt [78] Monopoly Economic-Based Pricing Economic-Based schemesCreate the differential digital productCalculate the differentiation of digital product and create the “differential delay”, then, pricing the digital product depends on the differentiations [79] MonopolyGame Theory-Based PricingStackelberg Game-Based PricingUse concave increasing function and Stackelberg game to maximize the proﬁt of datasetsCreate a digital market model with sensors, datasets, and consumers and use Stackelberg game model to obtain the maximum proﬁt [80] Strong competitionEconomic-Based Pricing and Auction-Based PricingEconomic-based schemes and Bargaining gameCalculate the cost and build economic modelBuild the economic model to analyze and calculate the cost of a certain datasets, and then, use Bargaining game to conﬁrm price of the datasets [81] Oligopoly Economic-Based PricingStatistics and Machine learning (Time-Dependent Pricing based on K-Nearest Neighbors (TDP-KNN) algorithm pricing algorithm and Time-Dependent Pricing based on Transition Rules (TDP-TR) pricing algorithm)Collect the usage of a certain datasetUse machine learning TDP-KNN algorithm) to collect and analyze the usage of some datasets and calculate the future usage expectation, and then, price the data [82] Monopoly Economic-Based Pricing Genetic algorithmDesign an assessment methods for exist data product and obtain its multi-dimensionality and dimensionsCreate a data-pricing tow level programming model depends on the quality and the proﬁt, and using genetic algorithm solves the model [83] Strong competition Economic-Based Pricing Snowballing AlgorithmDesign the market rule and the pricing modelsDesign a market model to create the selling database, and analyze the database 2169-3536 (c) 2018 IEEE. Translations and content mining are permitted for academic research only.",Methodology,0.5,0.7,0.8,0.3674999999999999,1,,,,,
S019,W2790400697->W2743929098,"A Survey on Big Data Market: Pricing, Trading and Protection",Data pricing strategy based on data quality,high_confidence,[82],"H. Yu and M. Zhang, “Data pricing strategy based on data quality,” Computers & Industrial Engineering, vol. 112, pp. 1–10, 2017.","Market Structures Pricing Models Algorithms/Schemes Goals Approaches [16] Monopoly Economic-Based Pricing Information EntropyReduce uncertainty by reducing the information entropy to avoid the interference from uncertain data contentDeﬁne ﬁve tuples parameters for data and reduce the uncertainty information entropy [75] Strong competition Economic-Based Pricing Gaussian ProcessCapture the uncertain contents of source dataCreate a trading market, and simulate the trading process. Then, use statistics approach and Gaussian process to analyze the data trading and maximum proﬁt process [76] Monopoly Economic-Based Pricing Max-Flow problemImprove the transparency of data pricePropose a Generalized Chain Queries and obtain the price by computing the time complexity of GChQ query [77] Strong competitionGame Theory-Based PricingStackelberg Game-Based PricingUse pricing incentives method to improve the Quality of Service (QoS) and encourage upload data for the sensorsSet a bundle with data and service; use Stackelberg game to encourage the service and negotiate the data price with consumers [52] Monopoly Economic-Based PricingAlternate optimal multi-step pricing schemeCompute the most closest pricing in case of fallaciesPropose a general framework to compute the proﬁt for a licensed datasets pricing and consider with Willingness to Pay (WTP) of consumer side, and then obtain the maximizing proﬁt [78] Monopoly Economic-Based Pricing Economic-Based schemesCreate the differential digital productCalculate the differentiation of digital product and create the “differential delay”, then, pricing the digital product depends on the differentiations [79] MonopolyGame Theory-Based PricingStackelberg Game-Based PricingUse concave increasing function and Stackelberg game to maximize the proﬁt of datasetsCreate a digital market model with sensors, datasets, and consumers and use Stackelberg game model to obtain the maximum proﬁt [80] Strong competitionEconomic-Based Pricing and Auction-Based PricingEconomic-based schemes and Bargaining gameCalculate the cost and build economic modelBuild the economic model to analyze and calculate the cost of a certain datasets, and then, use Bargaining game to conﬁrm price of the datasets [81] Oligopoly Economic-Based PricingStatistics and Machine learning (Time-Dependent Pricing based on K-Nearest Neighbors (TDP-KNN) algorithm pricing algorithm and Time-Dependent Pricing based on Transition Rules (TDP-TR) pricing algorithm)Collect the usage of a certain datasetUse machine learning TDP-KNN algorithm) to collect and analyze the usage of some datasets and calculate the future usage expectation, and then, price the data [82] Monopoly Economic-Based Pricing Genetic algorithmDesign an assessment methods for exist data product and obtain its multi-dimensionality and dimensionsCreate a data-pricing tow level programming model depends on the quality and the proﬁt, and using genetic algorithm solves the model [83] Strong competition Economic-Based Pricing Snowballing AlgorithmDesign the market rule and the pricing modelsDesign a market model to create the selling database, and analyze the database 2169-3536 (c) 2018 IEEE. Translations and content mining are permitted for academic research only.",Methodology,0.5,0.6,0.8,0.27,1,,,,,
S020,W3089176333->W2293940046,Towards Query Pricing on Incomplete Data,Query-Based Data Pricing,high_confidence,[14],"P. Koutris, P. Upadhyaya, M. Balazinska, B. Howe, and D. Suciu, “Query-based data pricing,” Journal of the ACM, vol. 62, no. 5, p. 43, 2015.","p3 2019-10-21 2019-11-01 t4u2? 2019-09-22 ?(c)Product(P) Pid Size Memory Price p14.7 64 $5988 p24.7 256 $7288 p35.5 64 $6888 p45.5 256 $8188 the literature [13], [14], [15], [16], [17], [18], [19]. However, these existing pricing approaches are notsuitable for pricing incomplete data, since they do not consider data complete- ness.

... [another target-aligned mention] ...

An arbitrage-free price function means that, the data buyer cannot purchase a query by buying a group of other queries at a lower price, and the price of a given query is unique and same. In particular, the arbitrage-free property is deﬁned based on a notion of query determinacy [14]. Informally, a set of data views/queries V determines some query Q, if one can compute answers of Qonly from answers of views without having access to the underlying dataset.

... [another target-aligned mention] ...

The seller sets the price of a speciﬁc set of base queries (also called view), and then, the algorithm has to derive the price of any other query that could be made to the database. This group consists of pricing generalized chain queries (i.e., a special type of join conjunctive query when the base queries are only selection queries) [14], [42] and pricing SQL queries [13], [16]. There are some efforts on revenue maximizing arbitrage-free pricing [19], [43], [44], the pricing problem for trading time series data and personal data [45], [46], [47], [48], pricing queries while protecting the seller’s privacy [49], [50] or in cloud environments [51].",Introduction,0.5,0.6,0.9,0.108,1,,,,,
S021,W3089176333->W2612128091,Towards Query Pricing on Incomplete Data,QIRANA,high_confidence,[16],"S. Deep and P. Koutris, “QIRANA: A framework for scalable query pricing,” in SIGMOD, pp. 699–713, 2017.","p3 2019-10-21 2019-11-01 t4u2? 2019-09-22 ?(c)Product(P) Pid Size Memory Price p14.7 64 $5988 p24.7 256 $7288 p35.5 64 $6888 p45.5 256 $8188 the literature [13], [14], [15], [16], [17], [18], [19]. However, these existing pricing approaches are notsuitable for pricing incomplete data, since they do not consider data complete- ness.

... [another target-aligned mention] ...

One can also compute other combined prices (e.g., the highest/average price) of lineage tuples for it. Moreover, the higher the tuple completeness, the higher the UCA price.The arbitrage-free property widely explored in relevant studies [13], [16], [19] is a typical and important property for price functions. This property is necessary for data pricing toavoid arbitrage .

... [another target-aligned mention] ...

Following existing studies [31], [7], [10], we simulate incomplete datasets via randomly discarding some values at a certain missing rate. In the experiments, following the related work [16], we use 40 queries over four datasets to conduct performance evaluation. All of the queries are described in Table 5, including 16 queries (w.r.t.

... [another target-aligned mention] ...

The seller sets the price of a speciﬁc set of base queries (also called view), and then, the algorithm has to derive the price of any other query that could be made to the database. This group consists of pricing generalized chain queries (i.e., a special type of join conjunctive query when the base queries are only selection queries) [14], [42] and pricing SQL queries [13], [16]. There are some efforts on revenue maximizing arbitrage-free pricing [19], [43], [44], the pricing problem for trading time series data and personal data [45], [46], [47], [48], pricing queries while protecting the seller’s privacy [49], [50] or in cloud environments [51].

... [another target-aligned mention] ...

Our proposed pricing scheme iDBPricer belongs to the category. Q IRANA [16], [54], standing the viewpoint of the data buyer, employs the possible world semantic to price relational queries. In addition, there is a series of studies on pricing machine learning tasks [17], [18], [55], pricing-related problems in both advertising markets and labor markets [56], etc.",Methodology,0.5,0.6,0.8,0.27,1,,,,,
S022,W3089176333->W2920282816,Towards Query Pricing on Incomplete Data,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,high_confidence,[44],"W. Mao, Z. Zheng, and F. Wu, “Pricing for revenue maximization in iot data markets: An information design perspective,” in INFO- COM, pp. 1837–1845, 2019.","This group consists of pricing generalized chain queries (i.e., a special type of join conjunctive query when the base queries are only selection queries) [14], [42] and pricing SQL queries [13], [16]. There are some efforts on revenue maximizing arbitrage-free pricing [19], [43], [44], the pricing problem for trading time series data and personal data [45], [46], [47], [48], pricing queries while protecting the seller’s privacy [49], [50] or in cloud environments [51]. In contrast, another kind of pricing scheme considers the tuples of relations as the structural granularity of the pricing function [15], [26], [52], [53].",Introduction,0.0,0.3,0.8,0.018,1,,,,,
S023,W2996741051->W2010653253,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,A survey of smart data pricing,high_confidence,[14],"S. Sen, C. Joe-Wong, S. Ha and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys (CSUR), vol. 46, no. 2, pp. 15–37, 2013.","However, this issue has been largely neglected by the network operators in the literature. To obtain greater revenue, the network operators can adopt appropriate pricing strategies to directly affect the users’ demand [14]. Initially, the operator only used static pricing that is simple ﬂat-rate data plans to engage users.

... [another target-aligned mention] ...

The motivation or intuition is that pricing should be leveraged strategically to affect demand to better handle unexploited capacity, hence yielding more revenue [15]. For example, MTN in Uganda and Uninor in India have offered time-dependent pricing for mobile message, where the message price is dynamically changed after one day or even one hour to achieve balance between the supply and demand [14], [16]. Also, China Telecom charges its users a discount data fees during less congested times, e.g., at night, and normal data fees otherwise.

... [another target-aligned mention] ...

II. R ELATED WORK A group of literature related to our work is the data pricing scheme for the network operators, which is designed to offer proﬁtable business as well as to create favorable services for the users [14], [21]. The network operators have been experiencing several emerging and innovative data pricing schemes, e.g., rollover data plans, secondary data market scheme [22] and sponsored data plan [23], [24].",Introduction,0.5,0.7,0.9,0.147,1,,,,,
S024,W2473283431->W2180742472,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,Smart data pricing,high_confidence,[30],"D. Niyato, X. Lu, P. Wang, D. I. Kim, and Z. Han, “Economics of internet of things (iot): An information market approach,” arXiv preprint arXiv:1510.06837, 2015.[31] D. Niyato, D. T. Hoang, N. C. Luong, P. Wang, D. I. Kim, and Z. Han, “Smart data pricing models for internet-of-things (iot): A bundling strategy approach,” vol. 30, no. 2, pp. 18–25, 2016.","Location-based services are also primary services of the IoT with an expected revenue of $34.8 billion in 2020 (http://iotbusinessnews.com). Among these resources, the sensing data and information are the most important ones in IoT since they can maximize the utility and proﬁt of owners and providers [30]. To describe how IoT changes business models, an IoT business model (see Fig.

... [another target-aligned mention] ...

The information can be treated as items traded in the market, and the main problem is how to set prices for the sensing infor- mation so that the service providers’ proﬁts are maximized. Consider a competitive market involving IoT service providers, the authors in [30] formulated the competition in setting the price as a non-cooperative game. The players are the service providers, i.e., sellers, and the strategy of each player is to set the price of the sensing information to maximize his own payoff, i.e., proﬁt.

... [another target-aligned mention] ...

The seller ﬁnds optimal rate and charge for the buyers through the utility functionMaximized throughput, load balance, and minimized costOptimization solution 6) Collusion and Price of Anarchy: In a competitive mar- ket, service providers set selling prices to maximize their own proﬁts given the strategies of other providers. A Nash equilibrium can be an appropriate solution as proposed in [30]. However, due to selﬁsh behaviors of the service providers, they can collude with each other to optimize their proﬁts collectively, and thus the Nash equilibrium become inefﬁcient [274].",Methodology,0.5,0.7,0.9,0.3674999999999999,1,,,,,
